EN symbol,JP symbol,English name,Japanese name,EN cards,JP cards,EN release date,JP release date,Set abb.
,—,Wizards Black Star Promos,—,53,—,"July, 1999 - March, 2003",—,WP
,,Nintendo Black Star Promos,"ADV-P Promotional cards
PCG-P Promotional cards",40,"63
154","October, 2003 - September, 2006","January, 2003 - February 2004
February, 2004 - July, 2006",NP
,,DP Black Star Promos,"DP-P Promotional cards
DPt-P Promotional cards",56,"127
51","May, 2007 - December, 2009","December, 2006 - January, 2009
October, 2008 - August, 2009",DPP
,,HGSS Black Star Promos,L-P Promotional cards,25,79,"February, 2010 - February, 2011","September, 2009 - August, 2010",HSP
,,BW Black Star Promos,BW-P Promotional cards,99,229,"March, 2011 - December, 2013","December, 2010 - September, 2013",BWP
,,XY Black Star Promos,XY-P Promotional cards,211,453,"October, 2013 - May, 2017","August, 2013 - February, 2017",XYP
,,SM Black Star Promos,SM-P Promotional cards,248,437,"November, 2016 - November, 2021","November, 2016 - October, 2019",SMP
,,SWSH Black Star Promos,S-P Promotional cards,Ongoing,Ongoing,"November, 2019 - Present","November, 2019 - Present",SSP
