EN symbol,JP symbol,English name,Japanese name,EN cards,JP cards,EN release date,JP release date,Set abb.
,,McDonald's Collection,Collection Sheet Journey Partners,12,9,"June 17, 2011","September 18, 2010",MCD11
,—,McDonald's Collection 2012,—,12,—,"June 15th - July 5th, 2012",—,MCD12
,—,McDonald's Collection 2013,—,12,—,"October 13th - November 26th, 2013",—,MCD13
,—,McDonald's Collection 2014,—,12,—,"May 23rd - June 12th, 2014",—,MCD14
,—,McDonald's Collection 2015,—,12,—,"November 27 - December 23, 2015",—,MCD15
,—,McDonald's Collection 2016,—,12,—,"August 19, 2016",—,MCD16
,—,McDonald's Collection 2017,—,12,—,"November 7 - December 4, 2017",—,MCD17
,—,McDonald's Collection 2018,—,12,—,"October 16 - November 12, 2018",—,MCD18
,—,McDonald's Collection 2019,—,12,—,"October 15 - November 11, 2019",—,MCD19
,—,McDonald's Collection 2021,—,25,—,"From February 9, 2021",—,MCD21
,—,McDonald's Collection 2022,—,15,—,"From August 3, 2022",—,MCD22
